@relation train_data
@attribute GarageType real
@attribute LotShape real
@attribute BsmtQual real
@attribute GarageCars real
@attribute HeatingQC real
@attribute GarageArea real
@attribute OverallQual real
@attribute ExterQual real
@attribute KitchenQual real
@attribute YearBuilt real
@attribute SalePriceCategorical{House_Price_1,House_Price_2,House_Price_3,House_Price_4,House_Price_5}
@data
1,3,2,2,0,548,7,2,2,2003,"House_Price_4"
1,3,2,2,0,460,6,3,3,1976,"House_Price_4"
1,0,2,2,0,608,7,2,2,2001,"House_Price_4"
5,0,4,3,2,642,7,3,2,1915,"House_Price_2"
1,0,2,3,0,836,8,2,2,2000,"House_Price_5"
1,0,2,2,0,480,5,3,3,1993,"House_Price_2"
1,3,0,2,0,636,8,2,2,2004,"House_Price_5"
1,0,2,2,0,484,7,3,3,1973,"House_Price_4"
5,3,4,2,2,468,7,3,3,1931,"House_Price_2"
1,3,4,1,0,205,5,3,3,1939,"House_Price_1"
5,3,4,1,0,384,5,3,3,1965,"House_Price_2"
3,0,0,3,0,736,9,0,0,2005,"House_Price_5"
5,1,4,1,4,352,5,3,3,1962,"House_Price_2"
1,0,2,3,0,840,7,2,2,2006,"House_Price_5"
1,0,4,1,4,352,6,3,3,1960,"House_Price_3"
5,3,4,2,0,576,7,3,3,1929,"House_Price_2"
1,0,4,2,0,480,6,3,3,1970,"House_Price_3"
4,3,3,2,4,516,4,3,3,1967,"House_Price_1"
5,3,4,2,0,576,5,3,2,2004,"House_Price_3"
1,3,4,1,4,294,5,3,3,1958,"House_Price_2"
3,0,0,3,0,853,8,2,2,2005,"House_Price_5"
1,3,4,1,0,280,7,3,2,1930,"House_Price_2"
1,3,2,2,0,534,8,2,2,2002,"House_Price_5"
1,3,2,2,4,572,5,3,3,1976,"House_Price_2"
1,0,4,1,0,270,5,3,2,1968,"House_Price_3"
1,3,2,3,0,890,8,2,2,2007,"House_Price_5"
5,3,4,2,4,576,5,3,2,1951,"House_Price_2"
1,3,0,3,0,772,8,2,2,2007,"House_Price_5"
1,0,4,1,4,319,5,3,3,1957,"House_Price_4"
5,0,4,1,1,240,4,3,1,1927,"House_Price_1"
5,3,4,1,4,250,4,3,3,1920,"House_Price_1"
1,0,4,1,2,271,5,3,2,1966,"House_Price_3"
1,3,0,2,0,484,8,2,2,2007,"House_Price_4"
1,0,4,2,2,447,5,3,2,1959,"House_Price_3"
1,3,0,2,0,556,9,0,0,2005,"House_Price_5"
3,3,0,3,0,691,8,2,2,2004,"House_Price_5"
1,3,2,2,0,672,5,3,3,1994,"House_Price_2"
1,3,4,2,2,498,5,3,3,1954,"House_Price_3"
5,3,4,1,4,246,5,3,2,1953,"House_Price_1"
6,3,3,0,4,0,4,3,1,1955,"House_Price_1"
1,3,4,2,0,440,6,3,3,1965,"House_Price_3"
1,3,4,1,2,308,5,3,3,1959,"House_Price_3"
1,0,2,2,2,504,5,3,2,1983,"House_Price_2"
5,0,2,1,4,308,5,3,3,1975,"House_Price_2"
1,3,4,1,0,300,5,3,3,1959,"House_Price_2"
1,3,0,2,0,576,9,0,0,2005,"House_Price_5"
1,0,0,2,0,670,7,2,2,2003,"House_Price_5"
1,3,2,3,0,826,8,2,2,2006,"House_Price_5"
6,3,4,0,2,0,4,3,3,1920,"House_Price_1"
1,3,4,1,0,386,5,3,3,1966,"House_Price_2"
1,1,2,2,2,388,6,3,3,1997,"House_Price_3"
5,3,4,2,4,528,6,3,3,1934,"House_Price_1"
4,1,2,2,4,516,5,1,3,1963,"House_Price_1"
1,0,0,3,2,894,9,2,2,1981,"House_Price_5"
5,3,4,2,4,572,5,3,3,1955,"House_Price_2"
1,0,4,2,2,576,6,3,3,1964,"House_Price_4"
1,3,2,2,0,480,8,2,2,1999,"House_Price_3"
1,0,2,2,0,565,7,2,2,2004,"House_Price_4"
3,1,0,3,0,641,10,0,2,2006,"House_Price_5"
5,3,4,1,0,352,5,3,3,1972,"House_Price_2"
5,3,2,2,0,576,6,3,2,2004,"House_Price_3"
5,3,4,1,4,288,5,3,1,1920,"House_Price_1"
1,0,2,2,0,484,8,2,2,2006,"House_Price_4"
5,0,4,2,2,480,7,3,3,1921,"House_Price_2"
1,3,2,2,0,645,7,3,2,1997,"House_Price_4"
3,3,0,3,0,852,8,2,2,2004,"House_Price_5"
1,3,2,2,4,576,7,3,3,1970,"House_Price_4"
1,0,2,2,0,558,7,2,2,2003,"House_Price_4"
1,3,4,1,4,220,4,3,3,1945,"House_Price_1"
1,3,4,2,4,667,7,2,3,1953,"House_Price_4"
1,0,2,2,0,516,7,3,3,1973,"House_Price_5"
5,3,4,2,4,360,4,3,3,1982,"House_Price_2"
1,0,2,2,2,427,7,3,3,1998,"House_Price_4"
1,3,4,2,2,490,5,3,3,1954,"House_Price_2"
5,3,1,1,2,379,3,2,3,1915,"House_Price_1"
3,3,2,1,4,297,4,3,3,1973,"House_Price_1"
5,0,4,1,0,283,4,3,3,1956,"House_Price_2"
5,3,4,1,4,240,5,3,3,1948,"House_Price_2"
6,3,4,0,4,0,4,3,3,1968,"House_Price_2"
5,3,4,2,2,440,5,3,3,1910,"House_Price_1"
1,3,2,1,4,509,6,3,2,1968,"House_Price_4"
